Proposal Number,Project number,Account Name,Opportunity Name,Confidence,Stage,Probability (%),Close Date,Carnet Assignment,Date of Carnet Assignment,Durée du Projet (Nb. de semaines),Nb. Hrs. Atelier (Sans Contingence),Nb. Hrs. Élec. (Sans Contingence,Nb. Hrs. Gestion,Nb. Hrs. Logiciel (Sans Contingence),Nb. Hrs. Mec. (Sans Contingence),Nb. Hrs. Procédé (Sans Contingence),Nb. Hrs. RC (Sans Contingence),Nb. Hrs. Robot (Sans Contingence),Main Process Type,Secondary Process Type,Third Process Type,SharePoint,Type de Système(s) Proposé(s)
5054,,Monnaie Royale Canadienne,Changement de pièce robot,100% Closed Won,Closed Won,100,16/06/2017,,,,,,,,,,,,Painting - LEGACY,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05054&v=search"" target=""_blank"">SharePoint Reference</a>",
5086,,Wolseley Industrial Group,Spare Parts,100% Closed Won,Closed Won,100,19/06/2017,,,,,,,,,,,,Other,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05086&v=search"" target=""_blank"">SharePoint Reference</a>",
5087,,Pratt & Whitney (PCI) - Columbus,Spare Parts,100% Closed Won,Closed Won,100,20/06/2017,,,,,,,,,,,,Other,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05087&v=search"" target=""_blank"">SharePoint Reference</a>",
5093,,Reliable Automatic Sprinkler Co.,Spare Parts,100% Closed Won,Closed Won,100,21/06/2017,,,,,,,,,,,,Other,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05093&v=search"" target=""_blank"">SharePoint Reference</a>",
5096,,International Rectifiers - Infineon,Spare Parts,100% Closed Won,Closed Won,100,21/06/2017,,,,,,,,,,,,Other,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05096&v=search"" target=""_blank"">SharePoint Reference</a>",
5099,,Pratt & Whitney (PCI) - Columbus,Spare Parts diamond,100% Closed Won,Closed Won,100,27/06/2017,,,,,,,,,,,,Other,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05099&v=search"" target=""_blank"">SharePoint Reference</a>",
5085,,Pratt & Whitney Canada Longueuil,Spare Parts repercer eoat 4105,100% Closed Won,Closed Won,100,27/06/2017,,,,,,,,,,,,Other,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05085&v=search"" target=""_blank"">SharePoint Reference</a>",
5002,C-04609,Aluminerie Alouette,support,100% Closed Won,Closed Won,100,3/7/2017,,,,,,,,,,,,Machine Vision & Custom AVI,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05002&v=search"" target=""_blank"">SharePoint Reference</a>",
5077,,Héroux Devtek (Laval),Services,100% Closed Won,Closed Won,100,3/7/2017,,,,,,,,,,,,Other,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05077&v=search"" target=""_blank"">SharePoint Reference</a>",
5111,,Detour Gold,Spare Parts,100% Closed Won,Closed Won,100,4/7/2017,,,,,,,,,,,,Other,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05111&v=search"" target=""_blank"">SharePoint Reference</a>",
5050,,Canmec Industriel Inc.,HandlingPro License,100% Closed Won,Closed Won,100,4/7/2017,,,,,,,,,,,,Other,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05050&v=search"" target=""_blank"">SharePoint Reference</a>",
5114,C-04751,International Rectifiers - Infineon,Spare Parts,100% Closed Won,Closed Won,100,5/7/2017,,,,,,,,,,,,Other,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05114&v=search"" target=""_blank"">SharePoint Reference</a>",
5102,,Lumenpulse (Montreal),Service Onsite Déménagement cellule,100% Closed Won,Closed Won,100,6/7/2017,,,,,,,,,,,,Other,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05102&v=search"" target=""_blank"">SharePoint Reference</a>",
5112,,I-Buff Pneus Chartrand,Pneus Fredette Spare Parts,100% Closed Won,Closed Won,100,6/7/2017,,,,,,,,,,,,Other,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05112&v=search"" target=""_blank"">SharePoint Reference</a>",
5095,,Pratt & Whitney Canada Longueuil,Spare Parts,100% Closed Won,Closed Won,100,11/7/2017,,,,,,,,,,,,Other,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05095&v=search"" target=""_blank"">SharePoint Reference</a>",
5063,,UTAS Aerostructures - Chula Vista,Service Onsite,100% Closed Won,Closed Won,100,12/7/2017,,,,,,,,,,,,Polishing Non-Attribué,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05063&v=search"" target=""_blank"">SharePoint Reference</a>",
4936,C-04936,Pratt & Whitney Canada Longueuil,Support,100% Closed Won,Closed Won,100,17/07/2017,,,,,,,,,,,,Custom Automation,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=04936&v=search"" target=""_blank"">SharePoint Reference</a>",
5101,,GEE Greenville (MRO),Spare Parts- Terry tool,100% Closed Won,Closed Won,100,17/07/2017,,,,,,,,,,,,Other,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05101&v=search"" target=""_blank"">SharePoint Reference</a>",
5109,,Lisi (Marmande),remote support,100% Closed Won,Closed Won,100,17/07/2017,,,,,,,,,,,,Polishing Non-Attribué,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05109&v=search"" target=""_blank"">SharePoint Reference</a>",
5131,,GEE Greenville (MRO),Spare Parts- Terry tool,100% Closed Won,Closed Won,100,17/07/2017,,,,,,,,,,,,Other,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05131&v=search"" target=""_blank"">SharePoint Reference</a>",
5159,,Detour Gold,Spare parts,100% Closed Won,Closed Won,100,26/07/2017,,,,,,,,,,,,Other,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05159&v=search"" target=""_blank"">SharePoint Reference</a>",
5139,,GEE Greenville (MRO),Spare Parts,100% Closed Won,Closed Won,100,27/07/2017,,,,,,,,,,,,Other,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05139&v=search"" target=""_blank"">SharePoint Reference</a>",
5122,,Cobham - Advanced Electronic Solutions,Spare Parts Thermocouples,100% Closed Won,Closed Won,100,28/07/2017,,,,,,,,,,,,Other,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05122&v=search"" target=""_blank"">SharePoint Reference</a>",
5144,,Detour Gold,Spare Parts,100% Closed Won,Closed Won,100,28/07/2017,,,,,,,,,,,,Other,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05144&v=search"" target=""_blank"">SharePoint Reference</a>",
5145,C-05145,Lumenpulse (Montreal),Appel de Service Support,100% Closed Won,Closed Won,100,28/07/2017,,,,,,,,,,,,Other,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05145&v=search"" target=""_blank"">SharePoint Reference</a>",
5150,,RDC Control,Appel de service,100% Closed Won,Closed Won,100,3/8/2017,,,,,,,,,,,,Custom Automation,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05150&v=search"" target=""_blank"">SharePoint Reference</a>",
5151,,Pratt & Whitney Canada Longueuil,appel de services K+S,100% Closed Won,Closed Won,100,4/8/2017,,,,,,,,,,,,Custom Automation,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05151&v=search"" target=""_blank"">SharePoint Reference</a>",
5113,,Lisi (Marmande),Modifications cellule profiling de Bologne,100% Closed Won,Closed Won,100,4/8/2017,,,,,,,,,,,,Profiling,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05113&v=search"" target=""_blank"">SharePoint Reference</a>",
5148,,Revision Military - Essex Junction,support 2017,100% Closed Won,Closed Won,100,4/8/2017,,,,,,,,,,,,Machine Vision & Custom AVI,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05148&v=search"" target=""_blank"">SharePoint Reference</a>",
5156,C-04751,International Rectifiers - Infineon,Spare Parts,100% Closed Won,Closed Won,100,8/8/2017,,,,,,,,,,,,Other,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05156&v=search"" target=""_blank"">SharePoint Reference</a>",
5157,C-05009,Reliable Automatic Sprinkler Co.,Spare Parts,100% Closed Won,Closed Won,100,8/8/2017,,,,,,,,,,,,Other,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05157&v=search"" target=""_blank"">SharePoint Reference</a>",
5160,C-04751,International Rectifiers - Infineon,Spare Parts,100% Closed Won,Closed Won,100,10/8/2017,,,,,,,,,,,,Other,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05160&v=search"" target=""_blank"">SharePoint Reference</a>",
5161,,Microsemi,Spare Parts,100% Closed Won,Closed Won,100,11/8/2017,,,,,,,,,,,,Other,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05161&v=search"" target=""_blank"">SharePoint Reference</a>",
5163,C-05009,Reliable Automatic Sprinkler Co.,Spare Parts,100% Closed Won,Closed Won,100,14/08/2017,,,,,,,,,,,,Other,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05163&v=search"" target=""_blank"">SharePoint Reference</a>",
5115,,Pratt & Whitney Canada Longueuil,Spare Parts RFQ64094,100% Closed Won,Closed Won,100,14/08/2017,,,,,,,,,,,,Other,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05115&v=search"" target=""_blank"">SharePoint Reference</a>",
5123,,Pratt & Whitney Canada Longueuil,Spare Parts RFQ70607,100% Closed Won,Closed Won,100,14/08/2017,,,,,,,,,,,,Other,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05123&v=search"" target=""_blank"">SharePoint Reference</a>",
5168,,Pratt & Whitney (PCI) - Columbus,Spare Parts,100% Closed Won,Closed Won,100,16/08/2017,,,,,,,,,,,,Other,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05168&v=search"" target=""_blank"">SharePoint Reference</a>",
5158,,International Rectifier Hirel,Soldier Pot Installation,100% Closed Won,Closed Won,100,22/08/2017,,,,,,,,,,,,Other,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05158&v=search"" target=""_blank"">SharePoint Reference</a>",
5103,,GEE Bucyrus,Spare Parts- Cables,100% Closed Won,Closed Won,100,23/08/2017,,,,,,,,,,,,Other,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05103&v=search"" target=""_blank"">SharePoint Reference</a>",
5175,,International Rectifiers - Infineon,Spare Parts,100% Closed Won,Closed Won,100,24/08/2017,,,,,,,,,,,,Other,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05175&v=search"" target=""_blank"">SharePoint Reference</a>",
5176,,Pratt & Whitney (PCI) - Columbus,Spare Parts,100% Closed Won,Closed Won,100,25/08/2017,,,,,,,,,,,,Other,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05176&v=search"" target=""_blank"">SharePoint Reference</a>",
5183,,International Rectifiers - Infineon,Spare Parts,100% Closed Won,Closed Won,100,6/9/2017,,,,,,,,,,,,Other,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05183&v=search"" target=""_blank"">SharePoint Reference</a>",
5064,,BWXT Nuclear Energy Canada Inc.,Services,100% Closed Won,Closed Won,100,7/9/2017,,,,,,,,,,,,Machine Vision & Custom AVI,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05064&v=search"" target=""_blank"">SharePoint Reference</a>",
5190,,Reliable Automatic Sprinkler Co.,Spare Parts,100% Closed Won,Closed Won,100,8/9/2017,,,,,,,,,,,,Other,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05190&v=search"" target=""_blank"">SharePoint Reference</a>",
5116,,Pratt & Whitney Canada Longueuil,Spare Parts BRU185932,100% Closed Won,Closed Won,100,11/9/2017,,,,,,,,,,,,Other,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05116&v=search"" target=""_blank"">SharePoint Reference</a>",
5140,,Pratt & Whitney Canada Longueuil,Spare Parts BRU188670,100% Closed Won,Closed Won,100,11/9/2017,,,,,,,,,,,,Other,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05140&v=search"" target=""_blank"">SharePoint Reference</a>",
5147,,TruckPro,support 2017,100% Closed Won,Closed Won,100,12/9/2017,,,,,,,,,,,,Custom Automation,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05147&v=search"" target=""_blank"">SharePoint Reference</a>",
5196,,Reliable Automatic Sprinkler Co.,Spare parts,100% Closed Won,Closed Won,100,13/09/2017,,,,,,,,,,,,Other,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05196&v=search"" target=""_blank"">SharePoint Reference</a>",
4774,,Airfoil Services Sdn. Bhd. (ASSB),Extra days from Max Marcotte,100% Closed Won,Closed Won,100,13/09/2017,,,,,,,,,,,,Profiling,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=04774&v=search"" target=""_blank"">SharePoint Reference</a>",
5197,,Trimpot Electronicas,Spare parts,100% Closed Won,Closed Won,100,14/09/2017,,,,,,,,,,,,Other,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05197&v=search"" target=""_blank"">SharePoint Reference</a>",
5126,,Monnaie Royale Canadienne,Spare Parts Cable peinture,100% Closed Won,Closed Won,100,14/09/2017,,,,,,,,,,,,Other,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05126&v=search"" target=""_blank"">SharePoint Reference</a>",
5155,,GEA Rutland,Support remote & onsite services,100% Closed Won,Closed Won,100,15/09/2017,,,,,,,,,,,,Profiling,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05155&v=search"" target=""_blank"">SharePoint Reference</a>",
5206,,Pratt & Whitney AutoAir - Lansing,Support,100% Closed Won,Closed Won,100,19/09/2017,,,,,,,,,,,,Custom Automation,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05206&v=search"" target=""_blank"">SharePoint Reference</a>",
5210,,Reliable Automatic Sprinkler Co.,Spare Parts,100% Closed Won,Closed Won,100,19/09/2017,,,,,,,,,,,,Other,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05210&v=search"" target=""_blank"">SharePoint Reference</a>",
5209,,Airboss Engineering Products,Service call,100% Closed Won,Closed Won,100,19/09/2017,,,,,,,,,,,,Custom Automation,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05209&v=search"" target=""_blank"">SharePoint Reference</a>",
5146,,Lisi (Marmande),Support urgent,100% Closed Won,Closed Won,100,19/09/2017,,,,,,,,,,,,Polishing Non-Attribué,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05146&v=search"" target=""_blank"">SharePoint Reference</a>",
5193,,GEE Greenville  (NM),Spare parts,100% Closed Won,Closed Won,100,21/09/2017,,,,,,,,,,,,Other,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05193&v=search"" target=""_blank"">SharePoint Reference</a>",
5204,,Cobham - Advanced Electronic Solutions,Support Onsite,100% Closed Won,Closed Won,100,21/09/2017,,,,,,,,,,,,Other,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05204&v=search"" target=""_blank"">SharePoint Reference</a>",
5215,,I-Buff Pneus Chartrand,Spare Parts,100% Closed Won,Closed Won,100,21/09/2017,,,,,,,,,,,,Other,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05215&v=search"" target=""_blank"">SharePoint Reference</a>",
5195,,GEA Bromont,Support Bank,100% Closed Won,Closed Won,100,22/09/2017,,,,,,,,,,,,Other,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05195&v=search"" target=""_blank"">SharePoint Reference</a>",
5202,F-1891,Pratt & Whitney (PCI) - Columbus,Spare Parts Rotary dresser,100% Closed Won,Closed Won,100,26/09/2017,,,,,,,,,,,,Other,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05202&v=search"" target=""_blank"">SharePoint Reference</a>",
5154,,BWXT Nuclear Energy Canada Inc.,support 2017,100% Closed Won,Closed Won,100,27/09/2017,,,,,,,,,,,,Custom Automation,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05154&v=search"" target=""_blank"">SharePoint Reference</a>",
5227,,Pratt & Whitney (PCI) - Columbus,Spare Parts Diamond Conique,100% Closed Won,Closed Won,100,2/10/2017,,,,,,,,,,,,Other,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05227&v=search"" target=""_blank"">SharePoint Reference</a>",
5230,,Detour Gold,Spare Parts,100% Closed Won,Closed Won,100,4/10/2017,,,,,,,,,,,,Custom Automation,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05230&v=search"" target=""_blank"">SharePoint Reference</a>",
5233,,International Rectifiers - Infineon,Spare Parts,100% Closed Won,Closed Won,100,11/10/2017,,,,,,,,,,,,CORFIN LEGACY,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05233&v=search"" target=""_blank"">SharePoint Reference</a>",
5237,c-04751,International Rectifiers - Infineon,Spare Parts,100% Closed Won,Closed Won,100,12/10/2017,,,,,,,,,,,,CORFIN LEGACY,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05237&v=search"" target=""_blank"">SharePoint Reference</a>",
5240,,Lisi (Marmande),Spare Parts,100% Closed Won,Closed Won,100,17/10/2017,,,,,,,,,,,,Other,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05240&v=search"" target=""_blank"">SharePoint Reference</a>",
5243,C-04793,Vishay Micro-electronics (Xi;an),Spare Parts,100% Closed Won,Closed Won,100,20/10/2017,,,,,,,,,,,,Other,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05243&v=search"" target=""_blank"">SharePoint Reference</a>",
5249,,International Rectifiers - Infineon,Spare Parts,100% Closed Won,Closed Won,100,23/10/2017,,,,,,,,,,,,CORFIN LEGACY,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05249&v=search"" target=""_blank"">SharePoint Reference</a>",
5257,,GEE - Singapore,Spare Parts Right angle tools,100% Closed Won,Closed Won,100,26/10/2017,,,,,,,,,,,,Cosmetic Polishing,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05257&v=search"" target=""_blank"">SharePoint Reference</a>",
5258,C-04751,International Rectifiers - Infineon,Spare Parts,100% Closed Won,Closed Won,100,26/10/2017,,,,,,,,,,,,CORFIN LEGACY,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05258&v=search"" target=""_blank"">SharePoint Reference</a>",
5094,,BTL (Blades Technology Ltd),Support From F-04585,100% Closed Won,Closed Won,100,27/10/2017,,,,,,,,,,,,Profiling,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05094&v=search"" target=""_blank"">SharePoint Reference</a>",
5256,,Wolseley Industrial Group,Spare Shafts,100% Closed Won,Closed Won,100,1/11/2017,,,,,,,,,,,,Other,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05256&v=search"" target=""_blank"">SharePoint Reference</a>",
5267,,International Rectifiers - Infineon,Spare Parts,100% Closed Won,Closed Won,100,2/11/2017,,,,,,,,,,,,CORFIN LEGACY,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05267&v=search"" target=""_blank"">SharePoint Reference</a>",
5138,,GEE Greenville (MRO),Spare Parts,100% Closed Won,Closed Won,100,3/11/2017,,,,,,,,,,,,Cosmetic Polishing,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05138&v=search"" target=""_blank"">SharePoint Reference</a>",
5275,,Reliable Automatic Sprinkler Co.,Spare Parts,100% Closed Won,Closed Won,100,6/11/2017,,,,,,,,,,,,Other,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05275&v=search"" target=""_blank"">SharePoint Reference</a>",
5273,,Vishay Micro-electronics (Xi;an),Spare Parts,100% Closed Won,Closed Won,100,6/11/2017,,,,,,,,,,,,Other,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05273&v=search"" target=""_blank"">SharePoint Reference</a>",
5238,,Soucy Baron Inc.,Support Banque heures,100% Closed Won,Closed Won,100,6/11/2017,,,,,,,,,,,,Custom Automation,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05238&v=search"" target=""_blank"">SharePoint Reference</a>",
5278,C-04823,Pratt & Whitney Canada Longueuil,DC01 update cellule anti-splatter R2,100% Closed Won,Closed Won,100,7/11/2017,90% Verbal Agreement ou R.O.I. validé par DODE,,,,0,29,0,0,0,212,328,Painting - LEGACY,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05278&v=search"" target=""_blank"">SharePoint Reference</a>",
5205,,Pratt & Whitney Canada Longueuil,Support robot,100% Closed Won,Closed Won,100,9/11/2017,90% Verbal Agreement ou R.O.I. validé par DODE,25/09/2017,,,,,,,,,240,Custom Automation,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05205&v=search"" target=""_blank"">SharePoint Reference</a>",
5255,,BAIN MAGIQUE,Support,100% Closed Won,Closed Won,100,9/11/2017,,,,,,,,,,,,Custom Automation,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05255&v=search"" target=""_blank"">SharePoint Reference</a>",
5279,,Glenair Inc.,Spare Parts,100% Closed Won,Closed Won,100,10/11/2017,,,,,,,,,,,,Other,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05279&v=search"" target=""_blank"">SharePoint Reference</a>",
5284,,International Rectifiers - Infineon,Spare Parts,100% Closed Won,Closed Won,100,10/11/2017,,,,,,,,,,,,CORFIN LEGACY,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05284&v=search"" target=""_blank"">SharePoint Reference</a>",
5285,,Lumenpulse (Montreal),Appel de Service,100% Closed Won,Closed Won,100,13/11/2017,,,,,,,,,,,,Custom Automation,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05285&v=search"" target=""_blank"">SharePoint Reference</a>",
5242,,Lumenpulse (Montreal),Service formation en T&M,100% Closed Won,Closed Won,100,13/11/2017,,,,,,,,,,,,Custom Automation,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05242&v=search"" target=""_blank"">SharePoint Reference</a>",
5280,,PG Technologies,Onsite visit evaluation,100% Closed Won,Closed Won,100,14/11/2017,,,,,,,,,,,,Other,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05280&v=search"" target=""_blank"">SharePoint Reference</a>",
5288,,Reliable Automatic Sprinkler Co.,Spare Parts,100% Closed Won,Closed Won,100,16/11/2017,,,,,,,,,,,,Other,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05288&v=search"" target=""_blank"">SharePoint Reference</a>",
5149,,GEA Piedmont,remote support,100% Closed Won,Closed Won,100,16/11/2017,,,,,,,,,,,,Custom Automation,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05149&v=search"" target=""_blank"">SharePoint Reference</a>",
5269,,GEE - Singapore,Cable et Collet added 5225,100% Closed Won,Closed Won,100,17/11/2017,,,,,,,,,,,,Other,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05269&v=search"" target=""_blank"">SharePoint Reference</a>",
5287,,GEE - Singapore,Spare Parts- Used HF Motor,100% Closed Won,Closed Won,100,17/11/2017,,,,,,,,,,,,Cosmetic Polishing,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05287&v=search"" target=""_blank"">SharePoint Reference</a>",
5186,,UTAS Aerostructures - Chula Vista,Support,100% Closed Won,Closed Won,100,20/11/2017,,,,,,,,,,,,Other,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05186&v=search"" target=""_blank"">SharePoint Reference</a>",
5295,,Detour Gold,Spare Parts,100% Closed Won,Closed Won,100,20/11/2017,,,,,,,,,,,,Other,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05295&v=search"" target=""_blank"">SharePoint Reference</a>",
5292,,PG Technologies,Onsite visit visit,100% Closed Won,Closed Won,100,20/11/2017,,,,,,,,,,,,Polishing Non-Attribué,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05292&v=search"" target=""_blank"">SharePoint Reference</a>",
5298,,International Rectifiers - Infineon,Spare Parts,100% Closed Won,Closed Won,100,24/11/2017,,,,,,,,,,,,CORFIN LEGACY,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05298&v=search"" target=""_blank"">SharePoint Reference</a>",
5119,,Pratt & Whitney Canada Lethbridge,Service support Onsite,100% Closed Won,Closed Won,100,24/11/2017,,,,,,,,,,,,Machine Vision & Custom AVI,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05119&v=search"" target=""_blank"">SharePoint Reference</a>",
5296,C-05014,Lisi (Marmande),Spare Parts,100% Closed Won,Closed Won,100,1/12/2017,,,,,,,,,,,,Profiling,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05296&v=search"" target=""_blank"">SharePoint Reference</a>",
5276,,Pratt & Whitney Canada Halifax,Spare Parts PLC,100% Closed Won,Closed Won,100,12/12/2017,,,,,,,,,,,,Other,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05276&v=search"" target=""_blank"">SharePoint Reference</a>",
5286,,Pratt & Whitney Canada Longueuil,C5205 DC01 Support robot,100% Closed Won,Closed Won,100,12/12/2017,90% Verbal Agreement ou R.O.I. validé par DODE,29/11/2017,,720,,,,,,120,,Custom Automation,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05286&v=search"" target=""_blank"">SharePoint Reference</a>",
